FundClassId,Symbol,DisplayName,CategoryName,InceptionDate,PriceDate,MSPrice,csrsPrice,ourkuPrice,PerformanceId
0P000175WN,341,嘉实新兴市场债券QDII - C2,环球债券,2013/11/26,2018/6/19,,,,0P000175WN
0P0001766W,960002,华夏回报混合H,标准混合型基金,2015/12/29,2018/6/19,,,1.486,0P0001766W
0P000176Q3,2223,中邮尊享一年定期开放灵活配置混合,灵活配置型基金（封闭式）,2015/12/25,2018/6/19,,,,0P000176Q3
0P000176QG,2286,中银美元债债券(QDII)-人民币,环球债券,2015/12/30,2018/6/19,,,,0P000176QG
0P000176QH,2287,中银美元债债券(QDII)-美元,环球债券,2015/12/30,2018/6/19,,,,0P000176QH
0P000176WY,968006,行健宏扬中国基金 人民币（对冲）单位,中国股票,2014/5/30,2018/6/19,,,,0P000176WY
0P000177EW,2230,华夏大中华企业精选灵活配置混合(QDII),环球股债混合,2016/1/20,2018/6/19,,,,0P000177EW
0P000177XE,2254,长信金葵纯债一年定期开放债券A,纯债基金（封闭式）,2016/1/27,2018/6/19,,,,0P000177XE
0P000177XI,2255,长信金葵纯债一年定期开放债券C,纯债基金（封闭式）,2016/1/27,2018/6/19,,,,0P000177XI
0P0001785G,2142,博时外延增长主题灵活配置混合,灵活配置型基金,2016/2/3,2018/6/19,,,1.093,0P0001785G
0P000179G4,2356,博时安泰18个月定期开放债券A,纯债基金（封闭式）,2016/2/4,2018/6/19,,,,0P000179G4
0P000179G5,2357,博时安泰18个月定期开放债券C,纯债基金（封闭式）,2016/2/4,2018/6/19,,,,0P000179G5
0P000179WB,2354,博时裕腾纯债债券,纯债基金,2016/1/18,2018/6/19,,1.0031,1.0031,0P000179WB
0P000179WC,2175,博时裕乾纯债债券A,纯债基金,2016/1/15,2018/6/19,,1.078,1.078,0P000179WC
0P000179WG,1811,中欧明睿新常态混合A,激进配置型基金,2016/3/3,2018/6/19,,1.138,1.138,0P000179WG
0P00017A76,2294,博时新机遇混合C,保守混合型基金,2016/1/14,2018/6/19,,1.0364,1.0364,0P00017A76
0P00017A7R,168102,九泰锐富事件驱动混合,灵活配置型基金（封闭式）,2016/2/4,2018/6/19,,0.966,0.966,0P00017A7R
0P00017AK6,968000,摩根亚洲总收益债券－ PRC人民币对冲份额（累计）,亚洲债券,2016/1/11,2018/6/19,,,,0P00017AK6
0P00017AK7,968001,摩根亚洲总收益债券－ PRC人民币对冲份额（每月派息）,亚洲债券,2016/1/11,2018/6/19,,,,0P00017AK7
0P00017AK8,968003,摩根亚洲总收益债券－ PRC美元份额（累计）,亚洲债券,2016/1/11,2018/6/19,,,,0P00017AK8
0P00017AK9,968004,摩根亚洲总收益债券－ PRC美元份额（每月派息）,亚洲债券,2016/1/11,2018/6/19,,,,0P00017AK9
0P00017B94,2379,工银瑞信香港中小盘股票（QDII）人民币,大中华区股票,2016/3/9,2018/6/19,,,,0P00017B94
0P00017B95,2380,工银瑞信香港中小盘股票（QDII）美元,大中华区股票,2016/3/9,2018/6/19,,,,0P00017B95
0P00017BQA,960004,华夏兴华混合H,激进配置型基金,2016/4/6,2018/6/19,,,,0P00017BQA
0P00017BUI,1859,大摩纯债稳定增值18个月定期开放债券A,纯债基金（封闭式）,2016/3/2,2018/6/19,,,,0P00017BUI
0P00017BUJ,1860,大摩纯债稳定增值18个月定期开放债券C,纯债基金（封闭式）,2016/3/2,2018/6/19,,,,0P00017BUJ
0P00017BUP,960026,博时特许价值混合R,激进配置型基金,2016/6/1,2018/6/19,,0.951,,0P00017BUP
0P00017BUQ,960027,博时信用债券 - R,激进债券型基金,2016/6/1,2018/6/19,,1.004,,0P00017BUQ
0P00017BUR,2385,博时裕富沪深300指数C,股票型基金,2016/1/26,2018/6/19,,1.3444,1.3444,0P00017BUR
0P00017BUS,960022,博时裕富沪深300指数R,股票型基金,2016/6/1,2018/6/19,,1.1372,1.1372,0P00017BUS
0P00017BZZ,2388,天弘裕利灵活配置混合A,灵活配置型基金,2016/1/29,2018/6/19,,1.1074,1.1074,0P00017BZZ
0P00017CYJ,2272,新华科技创新主题灵活配置混合,灵活配置型基金,2016/3/22,2018/6/19,,,0.888,0P00017CYJ
0P00017CYM,2404,博时裕乾纯债债券C,纯债基金,2016/2/1,2018/6/19,,1.059,1.059,0P00017CYM
0P00017EES,2400,南方亚洲美元收益债券QDII A 人民币,环球债券,2016/3/3,2018/6/19,,,,0P00017EES
0P00017EF4,2402,南方亚洲美元收益债券QDII A 美元现汇,环球债券,2016/3/3,2018/6/19,,,,0P00017EF4
0P00017EF5,2401,南方亚洲美元收益债券QDII C 人民币,环球债券,2016/3/3,2018/6/19,,,,0P00017EF5
0P00017EF6,2403,南方亚洲美元收益债券QDII C 美元现汇,环球债券,2016/3/3,2018/6/19,,,,0P00017EF6
0P00017EF7,519941,长信富全纯债一年定期开放债券A,纯债基金（封闭式）,2016/3/9,2018/6/19,,,,0P00017EF7
0P00017EF8,519940,长信富全纯债一年定期开放债券C,纯债基金（封闭式）,2016/3/9,2018/6/19,,,,0P00017EF8
0P00017IG3,2432,天弘乐享保本混合,保本基金,2016/3/9,2018/6/19,,,,0P00017IG3
0P00017IG4,2391,华安全球美元收益债券QDII 人民币A,环球债券,2016/3/23,2018/6/19,,,,0P00017IG4
0P00017IG5,2392,华安全球美元收益债券QDII 美元现汇A,环球债券,2016/3/23,2018/6/19,,,,0P00017IG5
0P00017IGD,2393,华安全球美元收益债券QDII 人民币C,环球债券,2016/3/23,2018/6/19,,,,0P00017IGD
0P00017INP,2447,博时裕安纯债债券,纯债基金,2016/3/4,2018/6/19,,1.0394,1.0394,0P00017INP
0P00017ISL,168101,九泰锐智定增灵活配置混合,灵活配置型基金（封闭式）,2015/8/14,2018/6/19,,1.046,1.046,0P00017ISL
0P00017J8T,162415,华宝标普美国消费(QDII-LOF)人民币,行业股票,2016/3/18,2018/6/19,,,,0P00017J8T
0P00017J8U,2423,华宝兴业标普美国消费(QDII-LOF)美元,行业股票,2016/3/18,2018/6/19,,,,0P00017J8U
0P00017JON,2355,国投瑞银岁赢利一年期定期开放债券,激进债券型基金（封闭式）,2016/3/29,2018/6/19,,,,0P00017JON
0P00017K4V,2476,博时安瑞18个月定期开放债券A,纯债基金（封闭式）,2016/3/30,2018/6/19,,,,0P00017K4V
0P00017K4X,2477,博时安瑞18个月定期开放债券C,纯债基金（封闭式）,2016/3/30,2018/6/19,,,,0P00017K4X
0P00017KSX,2499,德邦纯债9个月定期开放债券A,普通债券型基金（封闭式）,2016/3/28,2018/6/19,,,,0P00017KSX
0P00017KSY,2500,德邦纯债9个月定期开放债券C,普通债券型基金（封闭式）,2016/3/28,2018/6/19,,,,0P00017KSY
0P00017L15,2104,博时新价值灵活配置混合A,灵活配置型基金,2016/3/18,2018/6/19,,1.026,1.026,0P00017L15
0P00017L16,2105,博时新价值灵活配置混合C,灵活配置型基金,2016/3/18,2018/6/19,,1.0245,1.0245,0P00017L16
0P00017L17,2466,博时裕新纯债债券,纯债基金,2016/3/30,2018/6/19,,1.0657,1.0657,0P00017L17
0P00017LI2,2491,银华添益定期开放债券,普通债券型基金（封闭式）,2016/3/22,2018/6/19,,,,0P00017LI2
0P00017LXC,2269,银华大数据灵活配置定期开放混合,灵活配置型基金（封闭式）,2016/4/7,2018/6/19,,,,0P00017LXC
0P00017M3Y,968010,摩根太平洋证券-PRC人民币对冲份额（累计）,亚太区股票,2016/3/8,2018/6/19,,,,0P00017M3Y
0P00017M3Z,968011,摩根太平洋证券-PRC美元份额（累计）,亚太区股票,2016/3/8,2018/6/19,,,,0P00017M3Z
0P00017MXC,2568,博时裕发纯债债券,纯债基金,2016/4/6,2018/6/19,,1.047,1.047,0P00017MXC
0P00017MXE,2556,博时丝路主题股票C,股票型基金,2016/3/22,2018/6/19,,0.886,0.886,0P00017MXE
0P00017MXF,2553,博时创业成长混合C,激进配置型基金,2016/3/22,2018/6/19,,1.915,1.915,0P00017MXF
0P00017MXH,2555,博时沪港深优质企业灵活配置混合C,沪港深混合型基金,2016/3/22,2018/6/19,,0.826,0.826,0P00017MXH
0P00017N5H,2552,华夏恒利6个月定期开放债券,普通债券型基金（封闭式）,2016/3/29,2018/6/19,,,,0P00017N5H
0P00017NDD,2507,兴业定期开放债券C,普通债券型基金（封闭式）,2016/3/23,2018/6/19,,,,0P00017NDD
0P00017NDF,2478,中欧天添18个月定期开放债券A,普通债券型基金（封闭式）,2016/4/1,2018/6/19,,,,0P00017NDF
0P00017NDG,2479,中欧天添18个月定期开放债券C,普通债券型基金（封闭式）,2016/4/1,2018/6/19,,,,0P00017NDG
0P00017NDH,2532,中欧强盈定期开放债券,普通债券型基金（封闭式）,2016/3/25,2018/6/19,,,,0P00017NDH
0P00017NVC,2508,华宝兴业宝鑫纯债一年定期开放债券A,纯债基金（封闭式）,2016/4/26,2018/6/19,,,1.0148,0P00017NVC
0P00017NVD,2509,华宝兴业宝鑫纯债一年定期开放债券C,纯债基金（封闭式）,2016/4/26,2018/6/19,,,1.0072,0P00017NVD
0P00017PPR,519320,浦银安盛幸福聚利定期开放债券A,纯债基金（封闭式）,2016/5/4,2018/6/19,,,,0P00017PPR
0P00017PPS,519321,浦银安盛幸福聚利定期开放债券C,纯债基金（封闭式）,2016/5/4,2018/6/19,,,,0P00017PPS
0P00017PZD,2588,博时中证银联智惠大数据100指数A,股票型基金,2016/5/20,2018/6/19,,1.2835,1.2835,0P00017PZD
0P00017RK8,2610,博时黄金ETF联接A,商品,2016/5/27,2018/6/19,,0.9484,0.9484,0P00017RK8
0P00017RK9,2611,博时黄金ETF联接C,商品,2016/5/27,2018/6/19,,0.9407,0.9407,0P00017RK9
0P00017S27,2625,博时安怡6个月定期开放债券,普通债券型基金（封闭式）,2016/4/15,2018/6/19,,,,0P00017S27
0P00017SKV,2603,工银瑞信瑞丰纯债半年定期开放债券,普通债券型基金（封闭式）,2016/4/22,2018/6/19,,,,0P00017SKV
0P00017SVN,519939,长信海外收益一年定期开放债券(QDII)人民币,环球债券（封闭式）,2016/5/19,2018/6/19,,,,0P00017SVN
0P00017T6A,2448,江信汇福定期开放债券,普通债券型基金（封闭式）,2016/5/5,2018/6/19,,,,0P00017T6A
0P00017TTA,2519,博时裕景纯债债券,纯债基金,2016/4/28,2018/6/19,,1.003,1.003,0P00017TTA
0P00017U0U,2595,博时工业4.0主题股票,股票型基金,2016/6/8,2018/6/19,,1.095,1.095,0P00017U0U
0P00017V9P,2698,博时裕利纯债债券,纯债基金,2016/5/9,2018/6/19,,1.006,1.006,0P00017V9P
0P00017XOZ,2750,工银瑞信泰享三年理财债券,纯债基金（封闭式）,2016/5/5,2018/6/19,,,,0P00017XOZ
0P00017YJO,2083,新华鑫动力灵活配置混合A,灵活配置型基金,2016/6/8,2018/6/19,,,0.881,0P00017YJO
0P00017YJP,2084,新华鑫动力灵活配置混合C,灵活配置型基金,2016/6/8,2018/6/19,,,0.879,0P00017YJP
0P00017YJW,2754,博时裕创纯债债券,纯债基金,2016/5/13,2018/6/19,,1.004,1.004,0P00017YJW
